Num Students;Repetitions;Initializer Time;Serialize Time;Deserialize Time;Serialized File Size
64;3;24128;1107461;595944;9135
64;4;26273;1147243;7283366;9135
64;5;26134;1097787;616365;9135
64;6;25656;961965;542243;9135
64;7;24843;1004969;618696;9135
64;8;26073;1076401;612527;9135
64;9;23091;1547189;604308;9135
64;10;28274;1715138;630349;9135
128;1;69806;1892761;1134620;17834
128;2;22739;1224274;875057;17834
128;3;25405;1948266;1186734;17834
128;4;25275;2862637;1194650;17834
128;5;26302;1597594;714925;17834
128;6;25982;1947906;1152954;17834
128;7;28989;1806166;1109605;17834
128;8;32788;2010349;1693976;17834
128;9;26246;1814054;2104822;17834
128;10;28463;2612386;2015640;17834
256;1;38052;4223154;5716803;34602
256;2;23842;2456249;6081446;34602
256;3;26572;3011733;7213293;34602
256;4;48753;5562592;1784407;34602
256;5;28254;2222763;1817528;34602
256;6;27198;13095041;3547432;34602
256;7;36455;2325012;1800192;34602
256;8;27123;4559671;1988521;34602
256;9;30468;7054284;1431030;34602
256;10;30078;2677829;2155283;34602
512;1;130718;5420546;3431455;68138
512;2;32518;5666527;3342942;68138
512;3;29829;5321335;8795571;68138
512;4;32902;5428887;2657303;68138
512;5;31394;8717608;3425267;68138
512;6;31161;12503589;3753777;68138
512;7;34263;2983364;4389909;68138
512;8;85536;3031893;2674320;68138
512;9;26472;4845231;4868764;68138
512;10;30428;8690438;1758796;68138
1024;1;29143;7583517;5272688;135510
1024;2;37468;11412545;2984564;135510
1024;3;31864;14829384;3948555;135510
1024;4;158930;9575605;2903841;135510
1024;5;67443;17433886;2661169;135510
1024;6;144240;6789472;2574129;135510
1024;7;32000;11874793;3321757;135510
1024;8;34178;13862830;3393744;135510
1024;9;32263;6155081;2429527;135510
1024;10;31489;5372567;4471631;135510
2048;1;35267;9209079;4509553;281942
2048;2;44382;16621298;4026413;281942
2048;3;30603;15121451;4707247;281942
2048;4;29135;6251436;3753346;281942
2048;5;28358;8510679;7633267;281942
2048;6;33385;7604039;5415867;281942
2048;7;34639;7760618;5132343;281942
2048;8;28962;7566908;6382544;281942
2048;9;32744;7989095;6822744;281942
2048;10;34752;11023224;3261026;281942
4096;1;32788;22362831;5393862;574806
4096;2;44395;13736626;9489497;574806
4096;3;56966;16369639;10150575;574806
4096;4;35266;15274754;6574744;574806
4096;5;28627;11182393;4616268;574806
4096;6;22447;17063161;4668790;574806
4096;7;24246;14918009;8872120;574806
4096;8;69293;13809366;4777072;574806
4096;9;28469;12570783;9794889;574806
4096;10;24833;19126777;6659101;574806
8192;1;22976;35386189;20956591;1160534
8192;2;37405;65735550;25796025;1160534
8192;3;41723;60332629;38068585;1160534
8192;4;34702;36803559;17569753;1160534
8192;5;32493;36129340;20769287;1160534
8192;6;36743;50297927;26905327;1160534
8192;7;37028;25088209;11203432;1160534
8192;8;25545;34379190;9609668;1160534
8192;9;33908;26379704;8707900;1160534
8192;10;24969;20767086;8676546;1160534
16384;1;24443;41995934;17500702;2338375
16384;2;26199;45791886;18036294;2338375
16384;3;29433;64197430;41459890;2338375
16384;4;31669;51923820;28873346;2338375
16384;5;32925;52033749;17701122;2338375
16384;6;27252;48341342;17634786;2338375
16384;7;27235;40138481;16981791;2338375
16384;8;26979;43792481;17283146;2338375
16384;9;27041;41092166;17499286;2338375
16384;10;26049;40498357;31824405;2338375
32768;1;26408;82699160;34232107;4697671
32768;2;26163;93090141;35599248;4697671
32768;3;27198;90660349;55485616;4697671
32768;4;48739;115643644;58806960;4697671
32768;5;77767;112570521;59399808;4697671
32768;6;33249;226357236;40612259;4697671
32768;7;37600;95551750;48063150;4697671
32768;8;145194;112866821;53842406;4697671
32768;9;33634;66342435;40566057;4697671
32768;10;49390;59821655;40529390;4697671
65536;1;35372;158013543;78476850;9416263
65536;2;35387;124447120;86765673;9416263
65536;3;28410;115166538;82398905;9416263
65536;4;52809;252109542;75838545;9416263
65536;5;32385;110287559;72364691;9416263
65536;6;31331;107817747;70264358;9416263
65536;7;31923;139888718;75932317;9416263
65536;8;29648;109777288;69686755;9416263
65536;9;32399;120556615;76677992;9416263
65536;10;29492;117967618;98539367;9416263
